fecha/hora,Id. de liquidación,tipo ,Id. del pedido,sku,descripción,cantidad,marketplace,cumplimiento,ciudad del pedido,estado del pedido,código postal del pedido,modelo de recaudación de impuestos,ventas de productos,impuesto de ventas de productos,créditos de envío,impuesto de abono de envío,créditos por envoltorio de regalo,impuesto de créditos de envoltura,Tarifa reglamentaria,Impuesto sobre tarifa reglamentaria,descuentos promocionales,impuesto de reembolsos promocionales,impuesto de retenciones en la plataforma,tarifas de venta,tarifas fba,tarifas de otra transacción,otro,total
2 ene 2023 08:42:10 GMT-8,17150118301,Pedido,701-3803796-3738651,PT003,"FUEGO AZTECA® | Manjar Emperador - Salsa Premium: mezcla de Chiles y Ajo tostados en Aceite de Oliva - Chile Morita, Chipotle & Rojo de Árbol - sól",1,amazon.com.mx,Amazon,TEMIXCO,MORELOS,62588,MarketplaceFacilitator,189,0,0,0,0,0,0,0,0,0,0,-15.11,-61.93,0,0,111.96
2 ene 2023 08:42:10 GMT-8,17150118301,Pedido,701-3803796-3738651,PT001,"FUEGO AZTECA® | Elíxir Ámbar - Salsa/Infusión natural en Aceite de Oliva de 3 Variedades de Chiles y Ajo: Chile Chipotle, Morita & Rojo de Árbol",1,amazon.com.mx,Amazon,TEMIXCO,MORELOS,62588,MarketplaceFacilitator,299,0,0,0,0,0,0,0,0,0,0,-23.92,-68.86,0,0,206.22
3 ene 2023 07:48:57 GMT-8,17150118301,Pedido,701-4186727-3239421,FI-ECM0-UA0O,"FUEGO AZTECA® | Elíxir Ámbar Aceite Picante - Infusión natural en Aceite de Oliva de chiles Chipotle, Morita, Rojo de Árbol y Ajo - sólo Ingredi",1,amazon.com.mx,Vendedor,JUAREZ,CHIHUAHUA,32350,MarketplaceFacilitator,499,0,65,0,0,0,0,0,0,0,0,-84.6,0,0,0,479.4
3 ene 2023 08:04:38 GMT-8,17150118301,Servicios de envío,701-4186727-3239421,,Etiqueta de envío comprada a través de Amazon,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-223.82,-223.82
3 ene 2023 08:14:26 GMT-8,17150118301,Pedido,702-7110549-7545026,PT0011,"FUEGO AZTECA | 6-Pack Manjar Emperador Mini - Salsa Gourmet Premium: mezcla de Chiles y Ajo tostados en Aceite de Oliva - Chile Morita, Chipotle & de",4,amazon.com.mx,Vendedor,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,5129,MarketplaceFacilitator,1116,0,65,0,0,0,0,0,0,0,0,-94.47,0,0,0,1086.53
3 ene 2023 21:35:56 GMT-8,17150118301,Pedido,701-4952599-2973854,PT0009,FUEGO AZTECA | 3-Pack Esencial - Kit de 3 Salsas Premium en Aceite de Oliva: Néctar Ígneo + Manjar Emperador + Nutty & Picante - 3 piezas de 200g c/,1,amazon.com.mx,Amazon,GUADALUPE,ZACATECAS,98617,MarketplaceFacilitator,499,0,0,0,39,0,0,0,0,0,0,-74.85,-112.89,0,0,350.26
4 ene 2023 07:35:33 GMT-8,17150118301,Servicios de envío,701-8774937-2645850,,Etiqueta de envío comprada a través de Amazon,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-222.37,-222.37
4 ene 2023 07:35:42 GMT-8,17150118301,Pedido,701-8774937-2645850,FI-ECM0-UA0O,"FUEGO AZTECA® | Elíxir Ámbar Aceite Picante - Infusión natural en Aceite de Oliva de chiles Chipotle, Morita, Rojo de Árbol y Ajo - sólo Ingredi",1,amazon.com.mx,Vendedor,JUAREZ,CHIHUAHUA,32350,MarketplaceFacilitator,499,0,65,0,0,0,0,0,0,0,0,-84.6,0,0,0,479.4
6 ene 2023 10:25:52 GMT-8,17150118301,Tarifa de inventario FBA,INT01301,,Solicitud de retiro de inventario de Logística de Amazon: tarifa por devolución,,Amazon.com.mx,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.38,-12.38
6 ene 2023 21:29:09 GMT-8,17150118301,Pedido,701-1446127-2364225,PT0009,FUEGO AZTECA | 3-Pack Esencial - Kit de 3 Salsas Premium en Aceite de Oliva: Néctar Ígneo + Manjar Emperador + Nutty & Picante - 3 piezas de 200g c/,1,amazon.com.mx,Amazon,TLAQUEPAQUE,JALISCO,45601,MarketplaceFacilitator,399,0,0,0,0,0,0,0,0,0,0,-59.84,-73.89,0,0,265.27
7 ene 2023 01:00:11 GMT-8,17150118301,Pedido,702-0076934-2753835,PT0028-1-MX,FUEGO AZTECA | Néctar Ígneo - Salsa Premium: Pulpa de Mango con Chile Habanero y Aceite de Oliva - Textura cremosa - Ingredientes naturales - Nivel,1,amazon.com.mx,Amazon,ZINACANTEPEC,MÉXICO,51354,MarketplaceFacilitator,179,0,0,0,0,0,0,0,0,0,0,-14.31,-61.93,0,0,102.76
7 ene 2023 21:25:39 GMT-8,17150118301,Pedido,702-0551895-9896259,PT0009,FUEGO AZTECA | 3-Pack Esencial - Kit de 3 Salsas Premium en Aceite de Oliva: Néctar Ígneo + Manjar Emperador + Nutty & Picante - 3 piezas de 200g c/,2,amazon.com.mx,Amazon,MONTERREY,NUEVO LEÓN,64639,MarketplaceFacilitator,998,0,0,0,0,0,0,0,0,0,0,-149.71,-147.78,0,0,700.51
8 ene 2023 05:01:26 GMT-8,17150118301,Tarifa de inventario FBA,,,Tarifas de almacenamiento de Logística de Amazon,,Amazon.com.mx,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-140.03,-140.03
8 ene 2023 09:52:59 GMT-8,17150118301,Pedido,701-7045021-0699466,PT0009,FUEGO AZTECA | 3-Pack Esencial - Kit de 3 Salsas Premium en Aceite de Oliva: Néctar Ígneo + Manjar Emperador + Nutty & Picante - 3 piezas de 200g c/,1,amazon.com.mx,Amazon,MORELIA,MICHOACAN DE OCAMPO,58330,MarketplaceFacilitator,499,0,0,0,0,0,0,0,0,0,0,-74.85,-73.89,0,0,350.26
10 ene 2023 11:10:45 GMT-8,17235561451,Pedido,701-8546912-3540204,PT0011,"FUEGO AZTECA | 6-Pack Manjar Emperador Mini - Salsa Gourmet Premium: mezcla de Chiles y Ajo tostados en Aceite de Oliva - Chile Morita, Chipotle & de",1,amazon.com.mx,Vendedor,SANTIAGO DE QUERETARO,QUERETARO,76060,MarketplaceFacilitator,279,0,28.88,0,0,0,0,0,0,0,0,-46.18,0,0,0,261.7
10 ene 2023 11:10:45 GMT-8,17235561451,Pedido,701-8546912-3540204,PT0010,"FUEGO AZTECA® | 6-Pack Elíxir Ámbar Mini Aceite Picante - Infusión natural en Aceite de Oliva de chiles Chipotle, Morita, Rojo de Árbol y Ajo - s",1,amazon.com.mx,Vendedor,SANTIAGO DE QUERETARO,QUERETARO,76060,MarketplaceFacilitator,349,0,36.12,0,0,0,0,0,0,0,0,-57.77,0,0,0,327.35
11 ene 2023 02:50:06 GMT-8,17235561451,Pedido,702-7696513-4293838,PT003,"FUEGO AZTECA® | Manjar Emperador - Salsa Premium: mezcla de Chiles y Ajo tostados en Aceite de Oliva - Chile Morita, Chipotle & Rojo de Árbol - sól",1,amazon.com.mx,Amazon,MONTERREY,NUEVO LEON,64000,MarketplaceFacilitator,189,0,0,0,0,0,0,0,0,0,0,-15.11,-61.93,0,0,111.96
11 ene 2023 09:32:44 GMT-8,17235561451,Tarifa de servicio,,,Suscripción,,Amazon.com.mx,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-246.07,-246.07
11 ene 2023 10:41:48 GMT-8,17235561451,Trasferir,,,A la cuenta que finaliza en: 750,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2449.79,-2449.79
