date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"2023-01-01 11:36:38 PM","17150252561","Order","114-2895352-7286608","PT0022-US","FUEGO MEXIKA® | Nutty & Picante - Gourmet Mexican Chili Paste-Salsa with Dried Plums and Pecans - Blend of Morita & Habanero Chili Peppers, roasted a","1","amazon.com","Amazon","GULFPORT","FL","33707-4025","MarketplaceFacilitator","14.99","0","0","0","0","0","0","0","0","0","0","-1.39","-4.27","0","0","9.33"
"2023-01-02 09:54:47 AM","17150252561","Order","111-2622827-4471465","PT0003-US","FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe","1","amazon.com","Amazon","EVERETT","WA","98203-4416","MarketplaceFacilitator","14.99","0","0","0","0","0","0","0","0","0","0","-1.39","-5.06","0","0","8.54"
"2023-01-02 11:25:26 AM","17150252561","Order","111-7606479-8807407","PT0003-US","FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe","1","amazon.com","Amazon","TUCSON","AZ","85748-6429","MarketplaceFacilitator","14.99","0","0","0","0","0","0","0","0","0","0","-1.39","-5.06","0","0","8.54"
"2023-01-02 12:35:09 PM","17150252561","Order","111-5669988-8855462","PT0003-US","FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe","1","amazon.com","Amazon","ARAB","AL","35016-5843","MarketplaceFacilitator","13.49","1.08","0","0","0","0","0","0","0","0","-1.08","-1.25","-5.06","0","0","7.18"
"2023-01-02 01:39:41 PM","17150252561","Order","111-8353614-5268268","PT0003-US","FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe","1","amazon.com","Amazon","TUMWATER","WA","98512-6274","MarketplaceFacilitator","14.99","0","0","0","0","0","0","0","0","0","0","-1.39","-5.06","0","0","8.54"
"2023-01-02 05:29:54 PM","17150252561","Order","113-9463531-2622666","PT0003-US","FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe","1","amazon.com","Amazon","ASHLAND","VA","23005-2231","MarketplaceFacilitator","14.99","0.15","0","0","0","0","0","0","0","0","-0.15","-1.39","-5.06","0","0","8.54"
"2023-01-03 01:01:45 AM","17150252561","Order","114-8171915-4858603","PT0003-US","FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe","1","amazon.com","Amazon","KATY","TX","77493-4692","MarketplaceFacilitator","14.99","0","0","0","0","0","0","0","0","0","0","-1.39","-5.06","0","0","8.54"
"2023-01-03 01:42:09 AM","17150252561","Order","114-3076161-9701812","PT0022-US","FUEGO MEXIKA® | Nutty & Picante - Gourmet Mexican Chili Paste-Salsa with Dried Plums and Pecans - Blend of Morita & Habanero Chili Peppers, roasted a","1","amazon.com","Amazon","IMPERIAL BEACH","CA","91932-1906","MarketplaceFacilitator","14.99","0","0","0","0","0","0","0","-7.49","0","0","-0.7","-4.27","0","0","2.53"
"2023-01-03 04:14:00 AM","17150252561","Order","111-6799005-3557865","PT0003-US","FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe","1","amazon.com","Amazon","CLOVIS","CA","93619-4291","MarketplaceFacilitator","14.99","0","0","0","0","0","0","0","0","0","0","-1.39","-5.06","0","0","8.54"
"2023-01-03 09:23:14 AM","17150252561","Order","112-4347529-5387461","PT0001-USA","FUEGO MEXIKA® | Elixir Ambar Spicy Olive Oil Infusion: Olive Oil infused with a Blend of Chipotle, Rojo de Arbol, Morita Chili Peppers and natural Ga","1","amazon.com","Amazon","Mountain House","CA","95391","MarketplaceFacilitator","19.99","0","0","0","0","0","0","0","0","0","0","-3.48","-5.71","0","0","10.8"
"2023-01-03 11:44:37 AM","17150252561","Order","114-3076161-9701812","PT0003-US","FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe","1","amazon.com","Amazon","IMPERIAL BEACH","CA","91932-1906","MarketplaceFacilitator","14.99","0","0","0","0","0","0","0","-7.5","0","0","-0.7","-5.06","0","0","1.73"
